X,Y,CoastDistance,TourismExposure,BuildingExposure,RoadExposure,Elevation
443940,3070920,0.5091168518066407,3.3252291497118147,2.017206905885471,0.40182698997071475,39.698097229003906
443970,3070920,0.48836459350585937,3.504479557163689,1.9436186475287636,0.33623743517924365,40.285438537597656
444000,3070920,0.46669046020507815,3.6706656342497874,1.8698556739397845,0.27451578561134465,41.310997009277344
444030,3070920,0.4459820556640625,3.8178165145866716,1.79602854869055,0.22002482793774325,42.01401901245117
444060,3070920,0.4178516540527344,3.936424585233603,1.7233967332310682,0.1766283699865313,41.856910705566406
444090,3070920,0.39,4.019109986110255,1.6504183815660896,0.15095973344515506,41.44785690307617
444120,3070920,0.36249139404296876,4.064111552557725,1.5795246912286631,0.14707940189271218,40.80092239379883
444150,3070920,0.3354101867675781,4.0664195784909785,1.5094521658842974,0.16515108268573006,40.05400466918945
444180,3070920,0.3088689270019531,4.023927091389931,1.4386414709186572,0.20071908587006798,40.486629486083984
444210,3070920,0.2830194396972656,3.9379750265810856,1.3660587632849563,0.24368609996876286,41.753509521484375
444240,3070920,0.25806976318359376,3.811164344610918,1.2903489481599892,0.28414011002170997,40.92014694213867
444270,3070920,0.2343074951171875,3.647801417415863,1.2140352778588495,0.31197469234229214,38.428096771240234
444300,3070920,0.2121320343017578,3.455427174404905,1.1347503520628759,0.3242037902660628,36.62321853637695
444330,3070920,0.19209373474121094,3.239619547108432,1.0520994138947368,0.32109792774890167,36.49277114868164
444360,3070920,0.16970562744140624,3.0083672680647733,0.967056147404926,0.3090329158716858,37.1065673828125
444390,3070920,0.15,2.767493368595677,0.8788766076057931,0.2934548175246352,36.992671966552734
444420,3070920,0.12727921295166017,2.5245356921055295,0.787306641864324,0.27646697215329485,35.598480224609375
444450,3070920,0.10816653442382812,2.2847513680979974,0.6943397024081517,0.2543494275229116,33.701351165771484
444480,3070920,0.08485281372070312,2.0541564112882442,0.6019858365759508,0.22054548446990713,30.906509399414062
444510,3070920,0.06708203887939453,1.836422729198414,0.5096421654400362,0.16833728567624862,27.39899444580078
444540,3070920,0.06,1.6308661253081373,0.41909181864421624,0.09290772602768009,23.498756408691406
444570,3070920,0.06,1.4421433569559092,0.3302181837198373,-0.007745194115161046,18.335458755493164
444600,3070920,0.06,1.2693558381770331,0.2436398953365255,-0.13121759682734943,12.70847225189209
444630,3070920,0.06,1.1125318937409507,0.1596316733397965,-0.2716218392252829,8.576868057250977
444660,3070920,0.03,0.9707847937639181,0.07938542178608177,-0.42266189423063405,4.026025772094727
444690,3070920,0,0.8418694476861858,0.0015693911295040581,-0.5786606067459648,0.9705580472946167
437310,3070890,1.38520751953125,-0.6163818059401707,-0.8326358526372208,-0.852554994814375,99.10401153564453
437340,3070890,1.382931640625,-0.6163818059401707,-0.8303050487886164,-0.6973223404903874,107.68338012695312
437370,3070890,1.3813037109375,-0.6163818059401707,-0.827839164363687,-0.5708736370551027,114.43627166748047
437400,3070890,1.3803260498046874,-0.6163818059401707,-0.8253316142904298,-0.47622941934181157,121.31844329833984
437430,3070890,1.38,-0.6163818059401707,-0.822894666378251,-0.4075612008670742,127.19454193115234
437460,3070890,1.38,-0.6163818059401707,-0.8200683943310741,-0.35521262939022774,130.3882598876953
437490,3070890,1.3803260498046874,-0.6163818059401707,-0.8167172536545567,-0.31361773281680533,131.39524841308594
437520,3070890,1.3813037109375,-0.6163818059401707,-0.8142064697777996,-0.2832561452600534,131.5084228515625
437550,3070890,1.382931640625,-0.6163818059401707,-0.81180683004889,-0.2740077166234481,130.36231994628906
437580,3070890,1.38520751953125,-0.6163818059401707,-0.8094630503796713,-0.2946892341784626,127.4070816040039
437610,3070890,1.3881282958984376,-0.6163818059401707,-0.8070720447366947,-0.34906121780054467,122.91626739501953
437640,3070890,1.3916895751953124,-0.6163818059401707,-0.8044895036160851,-0.43179294208684027,116.87759399414062
437670,3070890,1.3958868408203124,-0.6163818059401707,-0.8015448680921232,-0.5254151814437341,110.20127868652344
437700,3070890,1.400714111328125,-0.6163818059401707,-0.7980639679290604,-0.6055040169000502,103.508056640625
437730,3070890,1.4061649169921875,-0.6163818059401707,-0.7938971517808674,-0.6534084981400128,98.15152740478516
437760,3070890,1.4122322998046875,-0.6163818059401707,-0.7889494242961149,-0.6540431312582573,97.7318344116211
437790,3070890,1.4189080810546875,-0.6163818059401707,-0.7832081819649996,-0.6082802868913193,102.7090072631836
437820,3070890,1.4261837158203126,-0.6163818059401707,-0.7767638408361895,-0.5268706218833621,109.70490264892578
437850,3070890,1.4340501708984374,-0.6163818059401707,-0.769819128287352,-0.43076909633295735,115.32160186767578
437880,3070890,1.442497802734375,-0.6163818059401707,-0.7626840950210805,-0.33950700405922685,118.94661712646484
437910,3070890,1.451516357421875,-0.6163818059401707,-0.7557558650057555,-0.2790037813262142,122.57781219482422
437940,3070890,1.461095458984375,-0.6163818059401707,-0.7494844988154685,-0.2671081678241183,126.39226531982422
437970,3070890,1.4712239990234375,-0.6163818059401707,-0.7443287005403814,-0.311621699938019,128.7693328857422
438000,3070890,1.481890625,-0.6163818059401707,-0.7407070036742003,-0.4137629525732148,129.33517456054688
438030,3070890,1.4930841064453124,-0.6163818059401707,-0.7389511268096624,-0.5632908095589955,128.46080017089844
438060,3070890,1.5047923583984375,-0.6163818059401707,-0.7392681366915651,-0.7426237571242434,126.68115234375
438090,3070890,1.517003662109375,-0.6163818059401707,-0.7417168484412974,-0.9309281411722741,125.05435943603516
438120,3070890,1.517003662109375,-0.6163818059401707,-0.7462017236061593,-1.1072939075608959,122.32083892822266
438150,3070890,1.5047923583984375,-0.6163818059401707,-0.7526179785789294,-1.2573037925495556,118.37249755859375
438180,3070890,1.4930841064453124,-0.6163818059401707,-0.7602969646590336,-1.3708664608442398,114.86810302734375
438210,3070890,1.481890625,-0.6163818059401707,-0.7691756088897576,-1.4451468173820545,110.58753967285156
438240,3070890,1.4712239990234375,-0.6163818059401707,-0.7783964206830147,-1.4802145524478818,105.67521667480469
438270,3070890,1.461095458984375,-0.6163818059401707,-0.7877558320479109,-1.4776007062325558,102.1831283569336
438300,3070890,1.451516357421875,-0.6163818059401707,-0.7968454227062762,-1.4369536917335155,98.81498718261719
438330,3070890,1.442497802734375,-0.6163818059401707,-0.805335555132305,-1.360087710412437,95.24425506591797
438360,3070890,1.43279443359375,-0.6163818059401707,-0.812989550782933,-1.2497956668930765,92.92606353759766
438390,3070890,1.4230250244140625,-0.6163818059401707,-0.8196660592429875,-1.10924774570252,91.16376495361328
438420,3070890,1.4138245849609374,-0.6163818059401707,-0.8253114523325622,-0.9430549285374936,89.51017761230469
438450,3070890,1.40520458984375,-0.6163818059401707,-0.8299451166666435,-0.7594968824445396,87.61975860595703
438480,3070890,1.39717578125,-0.6163818059401707,-0.8336409024486598,-0.5672773615588682,84.1475601196289
438510,3070890,1.3897481689453124,-0.6163818059401707,-0.836507780865489,-0.37807541293289604,80.3525161743164
438540,3070890,1.382931640625,-0.6163818059401707,-0.8386721343578273,-0.20201034136765006,78.94261932373047
438570,3070890,1.3767352294921875,-0.6163818059401707,-0.8402632625629104,-0.05083510986082208,79.36285400390625
438600,3070890,1.3711673583984374,-0.6163818059401707,-0.841402829676495,0.06809181003513984,80.45915985107422
438630,3070890,1.3662357177734374,-0.6163818059401707,-0.8425728278222891,0.15443046892973727,81.7251205444336
438660,3070890,1.3619471435546875,-0.6163818059401707,-0.8436951144974002,0.2153282955823295,82.01583099365234
438690,3070890,1.3583077392578125,-0.6163818059401707,-0.8436951144974002,0.261848396690543,80.88672637939453
438720,3070890,1.3553228759765625,-0.6163818059401707,-0.8436951144974002,0.30613318025783737,78.3340072631836
438750,3070890,1.35299658203125,-0.6163818059401707,-0.8436951144974002,0.3565291160452891,75.08887481689453
438780,3070890,1.3513326416015625,-0.6163818059401707,-0.8436951144974002,0.41425857803547816,71.6854248046875
438810,3070890,1.350333251953125,-0.6163818059401707,-0.8436951144974002,0.4723301598521898,69.23063659667969
438840,3070890,1.35,-0.6163818059401707,-0.8436951144974002,0.5186818086066085,66.72290802001953
438870,3070890,1.35,-0.6163818059401707,-0.8436951144974002,0.5432601125309836,63.19868469238281
438900,3070890,1.35,-0.6163818059401707,-0.8436951144974002,0.5404236306275226,60.03778839111328
438930,3070890,1.35,-0.6163818059401707,-0.8436951144974002,0.5084767696427741,58.949649810791016
438960,3070890,1.350333251953125,-0.6163818059401707,-0.8436951144974002,0.4535598993865864,59.42034149169922
438990,3070890,1.3513326416015625,-0.6163818059401707,-0.8436951144974002,0.38583290833293854,58.593505859375
439020,3070890,1.35299658203125,-0.6163818059401707,-0.8436951144974002,0.3117116951384258,56.53901290893555
439050,3070890,1.3553228759765625,-0.6163818059401707,-0.8436951144974002,0.2367065805107164,55.07304000854492
439080,3070890,1.3583077392578125,-0.6163818059401707,-0.8436951144974002,0.16474753298670214,54.47906494140625
439110,3070890,1.3619471435546875,-0.6163818059401707,-0.8436951144974002,0.09512228381201591,54.30153274536133
439140,3070890,1.3662357177734374,-0.6163818059401707,-0.8436951144974002,0.02608245653073867,54.27653884887695
439170,3070890,1.3711673583984374,-0.6163818059401707,-0.8436951144974002,-0.04699406262396265,54.14501190185547
439200,3070890,1.3767352294921875,-0.6163818059401707,-0.8436951144974002,-0.12649864393308805,53.53891372680664
439230,3070890,1.382931640625,-0.6163818059401707,-0.8436951144974002,-0.2157643492651896,52.88310623168945
439260,3070890,1.3897481689453124,-0.6163818059401707,-0.8436951144974002,-0.3169921520984884,51.41654586791992
439290,3070890,1.39717578125,-0.6163818059401707,-0.8436951144974002,-0.429692895305692,48.170013427734375
439320,3070890,1.40520458984375,-0.6163818059401707,-0.8436951144974002,-0.549805673338713,47.008644104003906
439350,3070890,1.4138245849609374,-0.6163818059401707,-0.8436951144974002,-0.6721223490736361,47.5582160949707
439380,3070890,1.4230250244140625,-0.6163818059401707,-0.8436951144974002,-0.7909936725097776,48.51839828491211
439410,3070890,1.43279443359375,-0.6163818059401707,-0.8436951144974002,-0.9006019856927234,48.19342041015625
439440,3070890,1.44312158203125,-0.6163818059401707,-0.8436951144974002,-0.9975646380999982,47.580230712890625
439470,3070890,1.4539945068359375,-0.6163818059401707,-0.8433079811235009,-1.0809317560913039,47.240745544433594
439500,3070890,1.4654010009765626,-0.6163818059401707,-0.8426131198839928,-1.151493562974502,46.7083625793457
439530,3070890,1.4773287353515625,-0.6163818059401707,-0.841262486342943,-1.2106954642046952,46.40668869018555
439560,3070890,1.48976513671875,-0.6163818059401707,-0.8398686750874503,-1.2586148742143026,46.41464614868164
439590,3070890,1.5026976318359375,-0.6163818059401707,-0.8380632383784982,-1.2935656009340828,46.42953872680664
439620,3070890,1.5161134033203125,-0.6163818059401707,-0.835461303300358,-1.3172366899523409,46.676151275634766
439650,3070890,1.53,-0.6163818059401707,-0.8321774637686065,-1.3272602108682285,47.95735168457031
439680,3070890,1.544344482421875,-0.6160625236849403,-0.8279112672540924,-1.3248526533588179,50.55750274658203
439710,3070890,1.5591343994140625,-0.6150722585654292,-0.8224738690540375,-1.3123050617791836,53.30806350708008
439740,3070890,1.57435693359375,-0.6143680857601448,-0.8158329157829377,-1.2912427989115762,54.54257583618164
439770,3070890,1.59,-0.6131871676309141,-0.807832822450166,-1.2623438467062416,55.092254638671875
439800,3070890,1.606051025390625,-0.6108565859542822,-0.7982759626807888,-1.2225530563141689,55.921810150146484
439830,3070890,1.6224981689453124,-0.6074364563586621,-0.7876836724355424,-1.1684824317905549,57.578765869140625
439860,3070890,1.6393292236328125,-0.6030114134356462,-0.7756496299311354,-1.0923521718478948,58.92196273803711
439890,3070890,1.656532470703125,-0.5970803265157719,-0.7625110481579658,-0.988104774092238,59.16288375854492
439920,3070890,1.672752197265625,-0.5889211823304903,-0.747869386130956,-0.8547651586109712,60.43832778930664
439950,3070890,1.6890826416015625,-0.5788844882481101,-0.7336523370727026,-0.6974428782679627,63.43333435058594
439980,3070890,1.7057841796875,-0.5661900532075401,-0.7193901220463192,-0.5268390038685961,65.84903717041016
440010,3070890,1.722846435546875,-0.5505180834965419,-0.7017094210244611,-0.3567278885226023,66.75810241699219
440040,3070890,1.739482666015625,-0.5316436703762436,-0.6812687157685083,-0.20122739694458044,66.93119049072266
440070,3070890,1.7557049560546876,-0.5094850969412544,-0.6599834636480396,-0.07180246421327607,66.00806427001953
440100,3070890,1.77177880859375,-0.4841507993466155,-0.636266124555967,0.022665465908704878,64.902435302734375
440130,3070890,1.786197021484375,-0.4558375768282203,-0.608965541285899,0.07533843145047449,63.03445053100586
440160,3070890,1.800999755859375,-0.4253421647785962,-0.575949494933654,0.08050911570766289,60.82431411743164
440190,3070890,1.81617724609375,-0.3924301671863669,-0.5346393172485304,0.03335390210531566,59.18826675415039
440220,3070890,1.831720458984375,-0.35951724302951216,-0.4827617151088134,-0.06687398254897971,56.39816665649414
440250,3070890,1.8476201171875,-0.3271533714281297,-0.4198072664221726,-0.21188959538041163,51.558372497558594
440280,3070890,1.863866943359375,-0.2967521508271471,-0.3449697193318208,-0.3857714667886772,47.26295852661133
440310,3070890,1.87949462890625,-0.2693165930282299,-0.25646607798481685,-0.5677497709089732,44.69770050048828
440340,3070890,1.8921416015625,-0.24619756518223695,-0.15369081956326303,-0.7320141543022843,46.04114532470703
440370,3070890,1.9051771240234374,-0.22763622673617168,-0.03381872266434078,-0.8546869475628813,50.642608642578125
440400,3070890,1.9185931396484375,-0.214828610568956,0.10069415190913265,-0.9182872235848942,54.621742248535156
440430,3070890,1.9321490478515626,-0.20797566298345432,0.24616532646460332,-0.916902480012009,56.58781433105469
440460,3070890,1.945379150390625,-0.20679906808863988,0.4000750062064853,-0.8506520401097142,58.308631896972656
440490,3070890,1.958979248046875,-0.21068479163704795,0.5594499253562154,-0.7312595489953223,60.995399475097656
440520,3070890,1.9729420166015625,-0.21850068106192444,0.7196587932354069,-0.5742171686649578,63.33454132080078
440550,3070890,1.9872593994140626,-0.22948183532456767,0.8753216829630438,-0.399059805955552,65.23152923583984
440580,3070890,2.001924072265625,-0.24212013905131408,1.021270873803932,-0.22101537848533395,66.902740478515625
440610,3070890,2.01692822265625,-0.2553922203903524,1.1531194834753284,-0.05313593485514714,67.19000244140625
440640,3070890,2.0322646484375,-0.26819314051596455,1.2650371703633163,0.09309046877655565,66.8972396850586
440670,3070890,2.04792578125,-0.27958300330204977,1.354184600263107,0.20838838999884604,66.93077850341797
440700,3070890,2.063904052734375,-0.28903666752328716,1.4161565397669327,0.28444848084827967,67.3895263671875
440730,3070890,2.0801923828125,-0.29659028642159585,1.4500062232720503,0.3136977631015846,67.675750732421875
440760,3070890,2.096783203125,-0.3021285640219434,1.454145975473331,0.29542799027437844,67.88203430175781
440790,3070890,2.113669677734375,-0.3059585511012989,1.4296843143827214,0.2438831298006441,67.45012664794922
440820,3070890,2.1308447265625,-0.30663461506070916,1.3779362035475744,0.18633263412598133,66.11280059814453
440850,3070890,2.148301513671875,-0.3063401281748182,1.3021369079110368,0.1605505624563398,63.516971588134766
440880,3070890,2.166033203125,-0.30557899424282686,1.2061448997093602,0.20105743925134187,58.64674377441406
440910,3070890,2.184032958984375,-0.30343890967414355,1.0950429921079785,0.326730808056669,50.59447479248047
440940,3070890,2.202294189453125,-0.2984095654603558,0.9732275015359996,0.5348191894896889,42.54681396484375
440970,3070890,2.220810791015625,-0.2908103845445024,0.8467437825826112,0.798018598438905,38.19063949584961
441000,3070890,2.23957568359375,-0.27926518966556857,0.7178164168004112,1.0750124360602078,36.420127868652344
441030,3070890,2.25858349609375,-0.2647740363036852,0.5916090569855791,1.323457694448116,34.24872970581055
441060,3070890,2.277827880859375,-0.2418379199379043,0.4748347863366137,1.5118772380510925,31.281028747558594
441090,3070890,2.297302734375,-0.21005414667063724,0.3687892300322474,1.622767906573672,29.63185691833496
441120,3070890,2.316031005859375,-0.16961198574920822,0.2776570851814632,1.6563102180739517,29.945966720581055
441150,3070890,2.33403076171875,-0.11336706702916223,0.2027010880729604,1.6200770269474172,29.767087936401367
441180,3070890,2.352275390625,-0.04014014342955093,0.1416318333849749,1.5315271997700144,28.036998748779297
441210,3070890,2.370759521484375,0.05097565208490777,0.09720864923697398,1.4076280498173663,27.274211883544922
441240,3070890,2.38947705078125,0.1608031680326348,0.07205804478594371,1.2717072101774498,27.657373428344727
441270,3070890,2.408422607421875,0.2909585623623819,0.06348724513471826,1.1471394250307296,28.02501678466797
441300,3070890,2.427591552734375,0.44370011612658644,0.06982747189132024,1.0522502364631243,28.59706687927246
441330,3070890,2.446977783203125,0.6173168879423098,0.0895954220409153,1.0027172831250792,28.344953536987305
441360,3070890,2.466576416015625,0.8103908869043698,0.11942645378980046,1.007208433719422,27.099388122558594
441390,3070890,2.486383056640625,1.0204841386536148,0.15944385536913727,1.0666399449513184,27.079092025756836
