X,Y,NDVI,NDBI,NDWI,Albedo,TS,Month
438480,3072630,0.08341858086115503,0.008623134963408408,-0.05407825847340865,13859.090748031498,38.44348585339401,july
438510,3072630,0.12170001955543967,0.0018561484918793504,-0.08623309245877339,13447.697047244095,38.64912196798002,july
438540,3072630,0.08999598232221775,0.048181499239854986,-0.10238945546923899,12973.153740157479,38.9381409484169,july
438570,3072630,0.0734368703307604,0.046953266912533716,-0.10148617035915784,13697.449999999999,39.219418231843235,july
438600,3072630,0.07459145238307086,0.030218677230266857,-0.09989569664546953,14114.744291338582,39.476822087134394,july
438630,3072630,0.07690914578931482,0.03190969772616269,-0.10081557124254678,13909.168503937006,39.621761382692796,july
438660,3072630,0.07183552142680208,0.03334264172018989,-0.09335371573498245,13628.83877952756,39.74309221090539,july
438690,3072630,0.0724965447920593,0.04076415226857705,-0.0949119373776908,13484.690157480312,39.84057504186961,july
438720,3072630,0.08136656213896683,0.03222947623408467,-0.09028189910979229,12939.756102362202,39.86217768800981,july
438750,3072630,0.08676231727125068,0.044223558121540385,-0.10082420684204584,12771.608464566929,39.85569125125778,july
438780,3072630,0.0807726363427672,0.036458790164605445,-0.09680976183475448,13014.137992125983,39.867789899838954,july
438810,3072630,0.07352800687832373,0.034703928530523426,-0.0972461273666093,13249.961811023622,39.922839196780615,july
438840,3072630,0.07925519982053007,0.04147098169811858,-0.10320641282565131,13269.145866141733,39.94318202802094,july
